model,split_seed,MAE
Measurement RF,42,169.4441111803163
Corrected AS-OCT,42,184.5043921377145
Fusion,42,180.51665200992505
Measurement RF,1001,155.60533046218487
Corrected AS-OCT,1001,160.48119295560397
Fusion,1001,158.03990322935817
Measurement RF,2002,144.51706151367569
Corrected AS-OCT,2002,150.09102747990534
Fusion,2002,159.32794536243784
Measurement RF,2026,164.3382738126608
Corrected AS-OCT,2026,170.51399978936888
Fusion,2026,184.649798185929
Measurement RF,3407,181.83146108325835
Corrected AS-OCT,3407,175.97002495659723
Fusion,3407,174.20086500379773
