model,split_seed,vault_range,MAE
Measurement RF,42,low,208.0265774467362
Measurement RF,42,medium,80.00087112043059
Measurement RF,42,high,355.7860905438313
Measurement RF,1001,low,170.69128003531563
Measurement RF,1001,medium,100.93409090331892
Measurement RF,1001,high,309.9121800453514
Measurement RF,2002,low,155.1704897419574
Measurement RF,2002,medium,67.72327562409802
Measurement RF,2002,high,338.05526692949906
Measurement RF,2026,low,128.30197405065687
Measurement RF,2026,medium,102.93987205266964
Measurement RF,2026,high,437.5750924809318
Measurement RF,3407,low,200.64102181590343
Measurement RF,3407,medium,98.7369426910696
Measurement RF,3407,high,382.1732193362194
Corrected AS-OCT,42,low,138.78196885850696
Corrected AS-OCT,42,medium,122.76875732421875
Corrected AS-OCT,42,high,480.3037033081055
Corrected AS-OCT,1001,low,215.01378591437089
Corrected AS-OCT,1001,medium,102.14296264648438
Corrected AS-OCT,1001,high,213.27325439453125
Corrected AS-OCT,2002,low,163.18548102127878
Corrected AS-OCT,2002,medium,86.50595327524039
Corrected AS-OCT,2002,high,350.7220720563616
Corrected AS-OCT,2026,low,178.36017006321958
Corrected AS-OCT,2026,medium,85.23229614257812
Corrected AS-OCT,2026,high,453.7947649274553
Corrected AS-OCT,3407,low,177.1340123226768
Corrected AS-OCT,3407,medium,94.85057067871094
Corrected AS-OCT,3407,high,407.8578084309896
Fusion,42,high,425.0485382080078
Fusion,42,low,154.217139748966
Fusion,42,medium,117.63484446207684
Fusion,1001,high,244.46231515066964
Fusion,1001,low,201.4627107319079
Fusion,1001,medium,100.84029418945312
Fusion,2002,high,447.0975472586496
Fusion,2002,low,114.99328074735752
Fusion,2002,medium,96.29304962158204
Fusion,2026,high,455.9142717633928
Fusion,2026,low,164.75922273334703
Fusion,2026,medium,108.60327911376952
Fusion,3407,high,393.67054239908856
Fusion,3407,low,177.06627454255758
Fusion,3407,medium,96.13663893479568
