split_seed,model,MAE
42,Measurement RF,169.4441111803163
42,Corrected AS-OCT,184.5043921377145
42,Fusion,180.51665200992505
1001,Measurement RF,155.60533046218487
1001,Corrected AS-OCT,160.48119295560397
1001,Fusion,158.03990322935817
2002,Measurement RF,144.51706151367569
2002,Corrected AS-OCT,150.09102747990534
2002,Fusion,159.32794536243784
2026,Measurement RF,164.3382738126608
2026,Corrected AS-OCT,170.51399978936888
2026,Fusion,184.649798185929
3407,Measurement RF,181.83146108325835
3407,Corrected AS-OCT,175.97002495659723
3407,Fusion,174.20086500379773
