split_seed,model,MAE,RMSE,R2,mean_signed_error,prediction_range_ratio,low_MAE,low_signed_error,low_n,low_overestimation_proportion,low_underestimation_proportion,medium_MAE,medium_signed_error,medium_n,medium_overestimation_proportion,medium_underestimation_proportion,high_MAE,high_signed_error,high_n,high_overestimation_proportion,high_underestimation_proportion
42,Measurement RF,169.4441111803163,227.50426681053116,0.2374043669395605,-4.703396015549116,0.3421844562539818,208.0265774467362,207.9944577455224,17,0.9411764705882353,0.058823529411764705,80.00087112043059,-38.33681092021408,24,0.4166666666666667,0.5833333333333334,355.7860905438313,-355.7860905438313,8,0.0,1.0
42,Corrected AS-OCT,184.5043921377145,250.33666942954184,0.0604892487441107,-84.04704254748775,0.3404467694967231,138.78196885850696,133.0278116861979,18,0.9444444444444444,0.05555555555555555,122.76875732421875,-113.53880615234377,25,0.12,0.88,480.3037033081055,-480.3037033081055,8,0.0,1.0
42,Fusion,180.51665200992505,241.53923019747765,0.1404115383615185,-61.582611083984375,0.3457912569210777,154.217139748966,150.84717335420495,17,0.8823529411764706,0.11764705882352941,117.63484446207684,-90.89839935302734,24,0.2916666666666667,0.7083333333333334,425.0485382080078,-425.0485382080078,8,0.0,1.0
1001,Measurement RF,155.60533046218487,200.49923495733876,0.0403928353039041,3.8207031922870662,0.4332352156084655,170.69128003531563,160.46933621743764,19,0.8947368421052632,0.10526315789473684,100.93409090331892,-27.38705060028857,25,0.48,0.52,309.9121800453514,-309.9121800453514,7,0.0,1.0
1001,Corrected AS-OCT,160.48119295560397,208.1685954913168,-0.0289193902190623,62.515504103440506,0.4517127736409504,215.01378591437089,210.11128475791529,19,0.9473684210526315,0.05263157894736842,102.14296264648438,31.15711547851562,25,0.56,0.44,213.27325439453125,-190.02951049804688,8,0.125,0.875
1001,Fusion,158.03990322935817,204.1056857554553,0.0055607709502693,50.88042434991575,0.3767818959554036,201.4627107319079,197.3483854594984,19,0.9473684210526315,0.05263157894736842,100.84029418945312,22.260740966796877,25,0.68,0.32,244.46231515066964,-244.46231515066964,7,0.0,1.0
2002,Measurement RF,144.51706151367569,201.73386458859557,0.2694471826755189,1.6875992301259104,0.3928033821336584,155.1704897419574,149.0022999193617,17,0.9411764705882353,0.058823529411764705,67.72327562409802,-4.619893199855744,20,0.5,0.5,338.05526692949906,-338.05526692949906,7,0.0,1.0
2002,Corrected AS-OCT,150.09102747990534,200.91134515765413,0.1847992094226014,-8.069296616774334,0.3697080856515605,163.18548102127878,156.38406693307977,19,0.8947368421052632,0.10526315789473684,86.50595327524039,-35.99408428485577,26,0.4230769230769231,0.5769230769230769,350.7220720563616,-350.7220720563616,7,0.0,1.0
2002,Fusion,159.32794536243784,230.8998320927216,0.0429354337619953,-66.7052494395863,0.2833228869475015,114.99328074735752,108.18493831858916,17,0.8823529411764706,0.11764705882352941,96.29304962158204,-82.22460479736328,20,0.2,0.8,447.0975472586496,-447.0975472586496,7,0.0,1.0
2026,Measurement RF,164.3382738126608,223.7173243743968,0.1974584045057351,-36.28808041125546,0.32844146634615395,128.30197405065687,122.19960851180974,19,0.9473684210526315,0.05263157894736842,102.93987205266964,-46.40093066378071,20,0.3,0.7,437.5750924809318,-437.5750924809318,7,0.0,1.0
2026,Corrected AS-OCT,170.51399978936888,231.67637791015497,0.0553431167741145,-12.19528258080576,0.229765989841559,178.36017006321958,178.36017006321958,19,1.0,0.0,85.23229614257812,-33.36957153320313,25,0.44,0.56,453.7947649274553,-453.7947649274553,7,0.0,1.0
2026,Fusion,184.649798185929,244.95770168682571,0.0378328726513174,-10.523415606954824,0.2914039660722781,164.75922273334703,164.75922273334703,19,1.0,0.0,108.60327911376952,-21.155122375488283,20,0.5,0.5,455.9142717633928,-455.9142717633928,7,0.0,1.0
3407,Measurement RF,181.83146108325835,246.39972880868456,-0.1108557971618422,1.323684113417383,0.3524581092228473,200.64102181590343,200.64102181590343,19,1.0,0.0,98.7369426910696,-11.582365321217312,26,0.5384615384615384,0.46153846153846156,382.1732193362194,-382.1732193362194,9,0.0,1.0
3407,Corrected AS-OCT,175.97002495659723,233.06425758925556,0.0061322773754507,-43.84502156575521,0.2525372832372234,177.1340123226768,177.1340123226768,19,1.0,0.0,94.85057067871094,-79.32527395395132,26,0.19230769230769232,0.8076923076923077,407.8578084309896,-407.8578084309896,9,0.0,1.0
3407,Fusion,174.20086500379773,243.3978918664328,-0.0839540179610223,-20.22753058539497,0.4645093824144208,177.06627454255758,177.06627454255758,19,1.0,0.0,96.13663893479568,-46.34294245793269,26,0.23076923076923078,0.7692307692307693,393.67054239908856,-361.29215155707465,9,0.1111111111111111,0.8888888888888888
